Ano,Data do acidente,País do acidente,Modelo da aeronave,Número de mortos
2018,4 de agosto,Suíça,Junkers JU52 HB-HOT (Força Aérea Suíça),20
2018,29 de outubro,Indonésia,Boeing 737 MAX 8 (Lion Air),189
2018,15 de dezembro,Portugal (Valongo),Helicóptero (INEM),4
2019,21 de janeiro,Canal da Mancha,Piper PA-46,1
2019,11 de fevereiro,Brasil (São Paulo),Helicóptero,2
2019,13 de fevereiro,Brasil (Belém),Cessna Aircraft 210L,1
2019,23 de fevereiro,EUA (Texas),Boeing 767-375 (Atlas Air),3
2019,10 de março,Etiópia,Boeing 737 MAX 8 (Ethiopian Airlines),157
2019,27 de maio,Brasil (Estância),Piper,3
2019,21 de outubro,Brasil (Belo Horizonte),Cirrus SR20,4
2020,8 de janeiro,Irã,Boeing 737-800 (Ukraine International Airlines),176
2020,15 de maio,Brasil (São Benedito),Embraer EMB-810,4
2020,22 de maio,Paquistão,Airbus A320 (Pakistan International Airlines),97
2021,9 de janeiro,Indonésia,Boeing 737-500 (Sriwijaya Air),(Número não especificado)
2021,6 de maio,Brasil (Aracaju),RV-10 (monomotor),1
2021,14 de setembro,Brasil (Piracicaba),Beechcraft King Air B200GT,7
2021,5 de novembro,Brasil (Caratinga),Beech Aircraft (bimotor),5
2022,21 de março,China,Boeing 737-800 (China Eastern Airlines),(Nenhum sobrevivente)
2023,15 de janeiro,Nepal,ATR-72 (Yeti Airlines),72
2023,16 de setembro,Brasil (Barcelos),Embraer EMB-110,14
2024,2 de janeiro,Japão,De Havilland Canada DHC-8-315 Dash-8 (Guarda Costeira Japonesa),5
2024,25 de janeiro,Brasil (Rio Grande da Serra),Piper PA-24-260,2
2024,6 de março,Brasil (Belo Horizonte),Cessna Caravan (Polícia Federal),2
2024,3 de junho,Brasil (entre Garuva e Itapoá),Beechcraft (bimotor),2
2024,9 de agosto,Brasil (Vinhedo),ATR-72 (Voepass),62
2024,22 de dezembro,Brasil (Gramado),Piper PA-42 Cheyenne,10
2024,25 de novembro,Lituânia,Boeing B737 (DHL),2
2025,9 de janeiro,Brasil (Ubatuba),Cessna Citation 525 CJ1,1
2025,29 de janeiro,"EUA (Washington, D.C.)",Bombardier CRJ-701ER (American Eagle),64
2025,31 de janeiro,EUA (Filadélfia),Learjet 55 (Med Jets),6
2025,7 de fevereiro,Brasil (São Paulo),Beechcraft King Air F90,2
2025,8 de fevereiro,EUA (Alasca),Cessna Caravan (Bering Air),(Ao menos 3)
2025,10 de fevereiro,Brasil (Prado),Montaer MC-01,1
2025,9 de março,Brasil (Santos),Cessna 150J,1
2025,12 de março,Brasil (Nova Andradina),Avião agrícola,1
2025,26 de fevereiro,Sudão,Antonov AN-12,46
2025,9 de março,Brasil (Santos),Cessna 150J,1
2025,12 de março,Brasil (Nova Andradina),Avião agrícola,1
2025,13 de março,EUA (Denver),Boeing 737 Next Generation (American Airlines),0
2025,15 de março,China (Hainan),Shenyang J-15 (Força Aérea da China),0
